ERYTHROMYCIN CAPSULES 250MG K,medicine_showdetail.php?sn=A000106100
DL-METHYLEPHEDRINE HCL TABLETS 25.MG 'F.Y.',medicine_showdetail.php?sn=A000119100
LUXSON TABLETS 40MG,medicine_showdetail.php?sn=A000389100
GASMIN TABLETS F.Y.,medicine_showdetail.php?sn=A000415100
REIZER S.C. TABLETS 100 MG 'F.Y.',medicine_showdetail.php?sn=A000420100
POPON CAPSULES,medicine_showdetail.php?sn=A000506100
AMINOPHYLLINE TABLE,medicine_showdetail.php?sn=A000655100
TRANCOLON F.C. TABLETS 7.5MG MEPENZOLATE BROMIDE,medicine_showdetail.php?sn=A000844100
ANTACID-C TABLETS,medicine_showdetail.php?sn=A000862100
LEDERSCON TABLETS,medicine_showdetail.php?sn=A000998100
DANZEN TABLETS,medicine_showdetail.php?sn=A001001100
URETROPIC TABLETS,medicine_showdetail.php?sn=A001047100
INDOY CAPSULES,medicine_showdetail.php?sn=A001154100
PHENOBARBITAL TABLETS 'JENG SHENG',medicine_showdetail.php?sn=A001155100
AMPICILLIN CAPSULES,medicine_showdetail.php?sn=A001446100
NOSCAPINE TABLETS,medicine_showdetail.php?sn=A001448100
MAGNESIA TABLETS W,medicine_showdetail.php?sn=A001584100
MEBRON FILM COATING TABLETS,medicine_showdetail.php?sn=A001599100
GLYCYRRHIZA AND OPI,medicine_showdetail.php?sn=A001624100
MINOCIN CAPSULES 100MG,medicine_showdetail.php?sn=A001632100
CYTADINE TABLETS 4MG,medicine_showdetail.php?sn=A001641100
DIAZEPAM TABLETS 'KINGDOM',medicine_showdetail.php?sn=A001646100
CINNAZINE TABLETS,medicine_showdetail.php?sn=A001673100
PULIN S.C. TABLETS,medicine_showdetail.php?sn=A001691100
ENZYME TABLETS H.C,medicine_showdetail.php?sn=A001713100
ALIMEZINE TABLETS,medicine_showdetail.php?sn=A001726100
ASPARA-CA TABLETS,medicine_showdetail.php?sn=A001741100
MEDESONE TABLETS,medicine_showdetail.php?sn=A001779100
PROPRANOLOL TABLETS,medicine_showdetail.php?sn=A001806100
VANTYL TABLETS,medicine_showdetail.php?sn=A001816100
KOLIGIN TABLETS 'JEN SHENG',medicine_showdetail.php?sn=A001862100
CODIMAGEN TABLETS 'N.W.',medicine_showdetail.php?sn=A001881100
PREVOMIC S.C. TABLE,medicine_showdetail.php?sn=A001946100
TRANSONE TABLETS,medicine_showdetail.php?sn=A001997100
UROBENIN S.C. TABLE,medicine_showdetail.php?sn=A002112100
UNSULON TABLETS CH,medicine_showdetail.php?sn=A002242100
JINLUN TABLETS 'CHINTENG',medicine_showdetail.php?sn=A002244100
ALEVIATIN TABLETS,medicine_showdetail.php?sn=A002320100
PREDNISOLONE TABLETS 'YU SHENG',medicine_showdetail.php?sn=A002359100
AMPICILLIN CAPSULES,medicine_showdetail.php?sn=A002403100
ANCILLIN CAPSULES 5,medicine_showdetail.php?sn=A002444100
ULCERIN-P TABLETS,medicine_showdetail.php?sn=A002479100
GELAWEN TABLETS,medicine_showdetail.php?sn=A002483100
MAWEI TABLETS YU S,medicine_showdetail.php?sn=A002555100
SKELAXINE TABLETS,medicine_showdetail.php?sn=A002573100
BALON S.C. TABLETS,medicine_showdetail.php?sn=A002595100
PROSTEN CAPSULES,medicine_showdetail.php?sn=A002626100
GASTROPAN S.C. TABLETS,medicine_showdetail.php?sn=A002635100
TONIPIN TABLETS 'YU SHENG',medicine_showdetail.php?sn=A002644100
LIJEX TABLETS,medicine_showdetail.php?sn=A002680100
THIAN TABLETS YU S,medicine_showdetail.php?sn=A002760100
PHENYTOIN TABLETS 'JOHNSON',medicine_showdetail.php?sn=A002763100
FULLPHAGEN TABLETS 'F.Y.',medicine_showdetail.php?sn=A002856100
GLIBEN TABLETS,medicine_showdetail.php?sn=A002863100
ASPIRIN TABLETS 500MG 'S.Y.',medicine_showdetail.php?sn=A003092100
VITAMIN C TABLETS 'HONTEN',medicine_showdetail.php?sn=A003109100
PASSTON CAPSULES,medicine_showdetail.php?sn=A003206100
KEFLEX PULVULES 500,medicine_showdetail.php?sn=A003227100
PARDIN CAPSULES 'YU SHENG',medicine_showdetail.php?sn=A003241100
TRANTHISON TABLETS 'YU SHENG',medicine_showdetail.php?sn=A003243100
ROUMIN TABLETS YU,medicine_showdetail.php?sn=A003244100
TRIENZYME CAPSULES,medicine_showdetail.php?sn=A003311100
YUNSTAN CAPSULES,medicine_showdetail.php?sn=A003314100
PROMERAN F.C.TABLET,medicine_showdetail.php?sn=A003318100
PREDNISOLONE TABLETS 'VPP',medicine_showdetail.php?sn=A003365100
HYDROCHLOROTHIAZIDE TABLETS VPP,medicine_showdetail.php?sn=A003388100
ISONIAZID TABLETS 'V.P.P.',medicine_showdetail.php?sn=A003392100
CHLORPHENIRAMINE MALEATE TABLETS 'VPP',medicine_showdetail.php?sn=A003442100
PRONALATE TABLETS,medicine_showdetail.php?sn=A003551100
WESU TABLETS,medicine_showdetail.php?sn=A003623100
BENDA TABLETS 'Y.S.',medicine_showdetail.php?sn=A003633100
EPILON TABLETS YUN,medicine_showdetail.php?sn=A003703100
ULTA TABLETS PANBI,medicine_showdetail.php?sn=A003704100
SWEICON TABLETS YU,medicine_showdetail.php?sn=A003773100
ERYTHROMYCIN CAPSUL,medicine_showdetail.php?sn=A003775100
GERSKIN TABLETS YU,medicine_showdetail.php?sn=A003840100
PELION TABLETS,medicine_showdetail.php?sn=A003903100
BISMUTH SUBCARBONAT,medicine_showdetail.php?sn=A003976100
LICOTIN TABLETS YU,medicine_showdetail.php?sn=A004042100
BAOGIN TABLETS 2MG 'BOWLIN',medicine_showdetail.php?sn=A004122100
ESCIN S.C. TABLETS,medicine_showdetail.php?sn=A004163100
